PARAM,AVG_TIME,RUN,FAILED
1,45.79733848571777,1,0
1,39.769287109375,2,0
1,40.78587055206299,3,0
10,174.02249336242676,1,0
10,131.22478008270264,2,0
10,116.61924839019775,3,0
20,148.2748508453369,1,0
20,163.86944770812988,2,0
20,140.30498504638672,3,0
50,281.34907960891724,1,0
50,263.29167127609253,2,0
50,284.2711544036865,3,0
100,458.31342220306396,1,0
100,496.8395733833313,2,0
100,575.0148963928223,3,0
1000,1485.4456100463867,1,0
1000,1169.2041199207306,2,0
1000,1150.1700370311737,3,0
